Simulation Summary							
PALETS PLATAFORMA							
00:00:00							
Container	Loaded	Vol. Effi.	Area Effi.	SKU	Loaded	Column #	Customer Product Code
PALET-001(331-1984769-DI)	100.0	100.0	45.0	20973-COSTILLA SEMICARNUDA TIRA VACI	16.0	2	999999
PALET-001(311-1984769-DI)	100.0	100.0	45.0	21070-CHULETA DE LOMO 600 GR. BAND.	16.0	3	999999
PALET-001(331-1984769-DI)	100.0	100.0	45.0	20973-COSTILLA SEMICARNUDA TIRA VACI	7.0	4	999999
PALET-001(311-1984769-DI)	100.0	100.0	45.0	21070-CHULETA DE LOMO 600 GR. BAND.	1.0	4	999999
PALET-001(311-1984769-DI)	100.0	100.0	45.0	21124-CHULETA DE AGUJA 600 GR. BAND.	5.0	4	999999
PALET-002(311-1984769-DI)	100.0	100.0	37.0	21070-CHULETA DE LOMO 600 GR. BAND.	1.0	1	999999
PALET-002(311-1984769-DI)	100.0	100.0	37.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	1	999999
PALET-002(311-1984769-DI)	100.0	100.0	37.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	2	999999
PALET-002(311-1984769-DI)	100.0	100.0	37.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	3	999999
PALET-002(311-1984769-DI)	100.0	100.0	37.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	4	999999
PALET-003(311-1984769-DI)	100.0	100.0	36.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	1	999999
PALET-003(311-1984769-DI)	100.0	100.0	36.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	2	999999
PALET-003(311-1984769-DI)	100.0	100.0	36.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	3	999999
PALET-003(311-1984769-DI)	100.0	100.0	36.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	4	999999
PALET-004(331-1984769-DI)	100.0	100.0	64.0	20973-COSTILLA SEMICARNUDA TIRA VACI	16.0	1	999999
PALET-004(331-1984769-DI)	100.0	100.0	64.0	20973-COSTILLA SEMICARNUDA TIRA VACI	16.0	2	999999
PALET-004(331-1984769-DI)	100.0	100.0	64.0	20973-COSTILLA SEMICARNUDA TIRA VACI	16.0	3	999999
PALET-004(331-1984769-DI)	100.0	100.0	64.0	20973-COSTILLA SEMICARNUDA TIRA VACI	16.0	4	999999
PALET-005(311-1984769-DI)	100.0	100.0	64.0	21070-CHULETA DE LOMO 600 GR. BAND.	16.0	1	999999
PALET-005(311-1984769-DI)	100.0	100.0	64.0	21070-CHULETA DE LOMO 600 GR. BAND.	16.0	2	999999
PALET-005(311-1984769-DI)	100.0	100.0	64.0	21070-CHULETA DE LOMO 600 GR. BAND.	16.0	3	999999
PALET-005(311-1984769-DI)	100.0	100.0	64.0	21070-CHULETA DE LOMO 600 GR. BAND.	16.0	4	999999
PALET-006(331-1984769-DI)	100.0	100.0	164.0	20973-COSTILLA SEMICARNUDA TIRA VACI	64.0	1	999999
PALET-006(311-1984769-DI)	100.0	100.0	164.0	21124-CHULETA DE AGUJA 600 GR. BAND.	36.0	1	999999
PALET-006(311-1984769-DI)	100.0	100.0	164.0	21070-CHULETA DE LOMO 600 GR. BAND.	64.0	7	999999
PALET-007(312-1984769-DI)	100.0	100.0	85.0	20849-FILETE DE AGUJA 400 GR. BAND.	7.0	1	999999
PALET-007(332-1984769-DI)	100.0	100.0	85.0	20850-SOLOMILLO 2 UNIDADES VACIO	5.0	1	999999
PALET-007(332-1984769-DI)	100.0	100.0	85.0	20836-CINTA LOMO TROZO VACIO	12.0	2	999999
PALET-007(312-1984769-DI)	100.0	100.0	85.0	21100-COSTILLA TROCEADA 560 GR. BAND	12.0	3	999999
PALET-007(352-1984769-DI)	100.0	100.0	85.0	21277-LOMO SIEMPRE TIERNO 300 GR. BA	12.0	4	999999
PALET-007(312-1984769-DI)	100.0	100.0	85.0	21112-ESC. JAMON SIEMPRE TIERNOS 400	12.0	5	999999
PALET-007(312-1984769-DI)	100.0	100.0	85.0	21100-COSTILLA TROCEADA 560 GR. BAND	12.0	6	999999
PALET-007(352-1984769-DI)	100.0	100.0	85.0	21277-LOMO SIEMPRE TIERNO 300 GR. BA	12.0	7	999999
PALET-007(352-1984769-DI)	100.0	100.0	85.0	21277-LOMO SIEMPRE TIERNO 300 GR. BA	1.0	8	999999
PALET-008(332-1984769-DI)	100.0	100.0	83.0	20835-SOLOMILLO VACIO	4.0	1	999999
PALET-008(312-1984769-DI)	100.0	100.0	83.0	21112-ESC. JAMON SIEMPRE TIERNOS 400	8.0	1	999999
PALET-008(312-1984769-DI)	100.0	100.0	83.0	21267-CINTA DE LOMO 400 GR. BAND.	12.0	2	999999
PALET-008(352-1984769-DI)	100.0	100.0	83.0	20842-ESCALOPIN LOMO ADOB. 300 GR. B	12.0	3	999999
PALET-008(332-1984769-DI)	100.0	100.0	83.0	20835-SOLOMILLO VACIO	12.0	4	999999
PALET-008(332-1984769-DI)	100.0	100.0	83.0	20835-SOLOMILLO VACIO	4.0	5	999999
PALET-008(352-1984769-DI)	100.0	100.0	83.0	20842-ESCALOPIN LOMO ADOB. 300 GR. B	8.0	5	999999
