Simulation Summary							
PALETS PLATAFORMA							
00:00:00							
Container	Loaded	Vol. Effi.	Area Effi.	SKU	Loaded	Column #	Customer Product Code
PALET-001(352-1984778-DI)	100.0	100.0	96.0	20842-ESCALOPIN LOMO ADOB. 300 GR. B	96.0	8	999999
PALET-002(351-1984778-DI)	100.0	100.0	61.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	16.0	1	999999
PALET-002(351-1984778-DI)	100.0	100.0	61.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	8.0	2	999999
PALET-002(331-1984778-DI)	100.0	100.0	61.0	20973-COSTILLA SEMICARNUDA TIRA VACI	8.0	2	999999
PALET-002(331-1984778-DI)	100.0	100.0	61.0	20973-COSTILLA SEMICARNUDA TIRA VACI	13.0	3	999999
PALET-002(331-1984778-DI)	100.0	100.0	61.0	20973-COSTILLA SEMICARNUDA TIRA VACI	16.0	4	999999
PALET-003(331-1984778-DI)	100.0	100.0	47.0	20973-COSTILLA SEMICARNUDA TIRA VACI	1.0	1	999999
PALET-003(311-1984778-DI)	100.0	100.0	47.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	1	999999
PALET-003(331-1984778-DI)	100.0	100.0	47.0	20973-COSTILLA SEMICARNUDA TIRA VACI	1.0	2	999999
PALET-003(311-1984778-DI)	100.0	100.0	47.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	2	999999
PALET-003(311-1984778-DI)	100.0	100.0	47.0	21070-CHULETA DE LOMO 600 GR. BAND.	6.0	3	999999
PALET-003(311-1984778-DI)	100.0	100.0	47.0	21124-CHULETA DE AGUJA 600 GR. BAND.	5.0	3	999999
PALET-003(351-1984778-DI)	100.0	100.0	47.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	1.0	4	999999
PALET-003(331-1984778-DI)	100.0	100.0	47.0	20973-COSTILLA SEMICARNUDA TIRA VACI	15.0	4	999999
PALET-004(311-1984778-DI)	100.0	100.0	40.0	21070-CHULETA DE LOMO 600 GR. BAND.	1.0	1	999999
PALET-004(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	1	999999
PALET-004(331-1984778-DI)	100.0	100.0	40.0	20973-COSTILLA SEMICARNUDA TIRA VACI	1.0	2	999999
PALET-004(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	2	999999
PALET-004(351-1984778-DI)	100.0	100.0	40.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	1.0	3	999999
PALET-004(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	3	999999
PALET-004(331-1984778-DI)	100.0	100.0	40.0	20973-COSTILLA SEMICARNUDA TIRA VACI	1.0	4	999999
PALET-004(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	4	999999
PALET-005(351-1984778-DI)	100.0	100.0	64.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	16.0	1	999999
PALET-005(351-1984778-DI)	100.0	100.0	64.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	16.0	2	999999
PALET-005(351-1984778-DI)	100.0	100.0	64.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	16.0	3	999999
PALET-005(351-1984778-DI)	100.0	100.0	64.0	20841-ESCALOPIN LOMO ADOB. EXT.TIERN	16.0	4	999999
PALET-006(311-1984778-DI)	100.0	100.0	40.0	21070-CHULETA DE LOMO 600 GR. BAND.	1.0	1	999999
PALET-006(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	1	999999
PALET-006(331-1984778-DI)	100.0	100.0	40.0	20973-COSTILLA SEMICARNUDA TIRA VACI	1.0	2	999999
PALET-006(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	2	999999
PALET-006(331-1984778-DI)	100.0	100.0	40.0	20973-COSTILLA SEMICARNUDA TIRA VACI	1.0	3	999999
PALET-006(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	3	999999
PALET-006(331-1984778-DI)	100.0	100.0	40.0	20973-COSTILLA SEMICARNUDA TIRA VACI	1.0	4	999999
PALET-006(311-1984778-DI)	100.0	100.0	40.0	21124-CHULETA DE AGUJA 600 GR. BAND.	9.0	4	999999
