NombreDeGrupo,ArticuloDelBalde,LargoDelBalde,AnchoDelBalde,AltoDelBalde,PesoDelBalde,CantidadDeBaldes,Ratio,TipoDeBalde,SequenceValue,StackValue,FlipStartLayer,MaxLayerOnNormalOrientation,MaxLayerOnFlipOrientation,CodigoArticuloDelCliente,Alias2,Color
012-1984613-SE,21188-CHULETA AGUJA C/HUESO BAND.,396,296,217,5,2,0,1,0,0,0,0,0,916677,0,0
012-1984613-SE,21192-FILETE DE PANCETA BAND.,396,296,217,5,1,0,2,0,0,0,0,0,916679,0,0
012-1984613-SE,21193-COSTILLA TROCEADA BAND.,396,296,217,5,1,0,2,0,0,0,0,0,916722,0,0
052-1984613-SE,21195-ESCALOPIN LOMO S. TIERNOS 600,396,296,217,5,3,0,2,0,0,0,0,0,916716,0,0
052-1984613-SE,21196-ESCALOPIN LOMO S. TIERNOS 250,396,296,217,5,1,0,2,0,0,0,0,0,916719,0,0
012-1984613-SE,21220-CHULETA LOMO 500-700 GRS. BAND,396,296,217,5,1,0,2,0,0,0,0,0,916684,0,0
032-1984613-SE,21261-SOLOMILLO PACK 3 UN. VACIO,396,296,217,5,5,0,2,0,0,0,0,0,929194,0,0
