k,i,j,BaldesDelItemEnColumnaDelPalet,c
2,"312-1984761-DI","21091-ESCALOPE DE JAMON 500 GR. BAND",9,1
2,"312-1984761-DI","21100-COSTILLA TROCEADA 560 GR. BAND",2,1
2,"312-1984761-DI","21267-CINTA DE LOMO 400 GR. BAND.",1,1
2,"312-1984761-DI","21091-ESCALOPE DE JAMON 500 GR. BAND",8,2
2,"312-1984761-DI","21100-COSTILLA TROCEADA 560 GR. BAND",4,2
2,"312-1984761-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",1,3
2,"312-1984761-DI","21091-ESCALOPE DE JAMON 500 GR. BAND",7,3
2,"312-1984761-DI","21267-CINTA DE LOMO 400 GR. BAND.",4,3
2,"312-1984761-DI","21091-ESCALOPE DE JAMON 500 GR. BAND",12,4
2,"312-1984761-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",5,5
4,"311-1984761-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
4,"311-1984761-DI","21070-CHULETA DE LOMO 600 GR. BAND.",6,2
4,"311-1984761-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",6,2
4,"311-1984761-DI","21070-CHULETA DE LOMO 600 GR. BAND.",7,3
4,"311-1984761-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",2,3
5,"352-1984761-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,1
5,"352-1984761-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,2
7,"332-1984761-DI","20835-SOLOMILLO VACIO",9,1
7,"332-1984761-DI","20836-CINTA LOMO TROZO VACIO",2,1
7,"332-1984761-DI","20871-AGUJA S/H VACIO",1,1
7,"332-1984761-DI","20835-SOLOMILLO VACIO",1,2
7,"332-1984761-DI","20836-CINTA LOMO TROZO VACIO",7,2
7,"332-1984761-DI","20850-SOLOMILLO 2 UNIDADES VACIO",1,2
7,"332-1984761-DI","20871-AGUJA S/H VACIO",3,2
8,"331-1984761-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",11,1
8,"331-1984761-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,2
10,"352-1984761-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",11,1
10,"352-1984761-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",1,1
10,"352-1984761-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",4,2
11,"352-1984761-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,1
17,"311-1984761-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
17,"311-1984761-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
17,"311-1984761-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
17,"311-1984761-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
21,"311-1984761-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,1
21,"311-1984761-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
21,"311-1984761-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,3
21,"311-1984761-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
28,"352-1984761-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",6,2
