k,i,j,BaldesDelItemEnColumnaDelPalet,c
5,"352-1984746-PO","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,1
5,"352-1984746-PO","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,2
5,"352-1984746-PO","20842-ESCALOPIN LOMO ADOB. 300 GR. B",3,3
5,"352-1984746-PO","21277-LOMO SIEMPRE TIERNO 300 GR. BA",9,3
5,"352-1984746-PO","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,4
5,"352-1984746-PO","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,5
5,"352-1984746-PO","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,6
5,"352-1984746-PO","21277-LOMO SIEMPRE TIERNO 300 GR. BA",10,7
11,"332-1984746-PO","20835-SOLOMILLO VACIO",1,1
11,"332-1984746-PO","20850-SOLOMILLO 2 UNIDADES VACIO",9,1
11,"332-1984746-PO","20871-AGUJA S/H VACIO",2,1
11,"332-1984746-PO","20835-SOLOMILLO VACIO",7,2
11,"332-1984746-PO","20836-CINTA LOMO TROZO VACIO",5,2
11,"332-1984746-PO","20835-SOLOMILLO VACIO",9,3
38,"312-1984746-PO","20831-FILETE DE PANCETA 560 GR. BAND",3,1
38,"312-1984746-PO","21112-ESC. JAMON SIEMPRE TIERNOS 400",2,1
38,"312-1984746-PO","21267-CINTA DE LOMO 400 GR. BAND.",7,1
38,"312-1984746-PO","21100-COSTILLA TROCEADA 560 GR. BAND",8,2
38,"312-1984746-PO","21267-CINTA DE LOMO 400 GR. BAND.",4,2
38,"312-1984746-PO","21100-COSTILLA TROCEADA 560 GR. BAND",12,3
38,"312-1984746-PO","20831-FILETE DE PANCETA 560 GR. BAND",10,4
38,"312-1984746-PO","21100-COSTILLA TROCEADA 560 GR. BAND",2,4
38,"312-1984746-PO","20831-FILETE DE PANCETA 560 GR. BAND",9,5
38,"312-1984746-PO","21101-LIBRITOS DE LOMO 400 GR. BAND.",3,5
38,"312-1984746-PO","20831-FILETE DE PANCETA 560 GR. BAND",12,6
38,"312-1984746-PO","20831-FILETE DE PANCETA 560 GR. BAND",7,7
38,"312-1984746-PO","20849-FILETE DE AGUJA 400 GR. BAND.",2,7
70,"311-1984746-PO","21070-CHULETA DE LOMO 600 GR. BAND.",4,1
70,"311-1984746-PO","21124-CHULETA DE AGUJA 600 GR. BAND.",6,1
70,"311-1984746-PO","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
70,"311-1984746-PO","21070-CHULETA DE LOMO 600 GR. BAND.",15,3
70,"311-1984746-PO","21070-CHULETA DE LOMO 600 GR. BAND.",11,4
86,"311-1984746-PO","21124-CHULETA DE AGUJA 600 GR. BAND.",10,1
86,"311-1984746-PO","21124-CHULETA DE AGUJA 600 GR. BAND.",10,2
86,"311-1984746-PO","21124-CHULETA DE AGUJA 600 GR. BAND.",10,3
86,"311-1984746-PO","21124-CHULETA DE AGUJA 600 GR. BAND.",3,4
100,"331-1984746-PO","20973-COSTILLA SEMICARNUDA TIRA VACI",14,1
